"Artist","sum"
"The Beatles",738.518202776222
"Elvis Presley",695.848753899908
"Brenda Lee",465.954932286531
"Ray Charles",461.836755069007
"Connie Francis",402.232649551192
"The Beach Boys",396.954033062089
"Marvin Gaye",383.282092503204
"James Brown",379.039633407949
"Chubby Checker",351.769442745641
"Bobby Vinton",330.509969688311
"Roy Orbison",316.367878470813
"Jackie Wilson",311.644953144696
"Dionne Warwick",301.303818265931
"The Rolling Stones",294.508910993977
"Sam Cooke",280.83914434408
"Bobby Vee",279.990490855592
"Brook Benton",271.742791021342
"Bobby Darin",268.084253506154
"The Temptations",266.262983047864
"The Supremes",263.033834853909
"Aretha Franklin",259.864828794328
"The Impressions",244.691547044875
"The Drifters",243.519466054721
"Herman's Hermits",239.42388040011
"Bobby Rydell",235.204907067478
"The Everly Brothers",232.369542285918
"Andy Williams",232.359808448559
"Gene Pitney",230.964875534199
"Johnny Tillotson",227.529631334539
"The Marvelettes",225.988792033193
"The Shirelles",223.23483162205
"Fats Domino",216.629454370146
"Jerry Butler",213.944446967812
"Frank Sinatra",207.427137921891
"The Miracles",206.14063906417
"Four Tops",205.466896393823
"Dion",204.475223110987
"The Four Seasons",202.700053349428
"Paul Anka",202.540899622358
"Wilson Pickett",201.557801092354
"Tommy James & The Shondells",199.366991759261
"Johnny Rivers",198.319506196497
"The Monkees",194.703096342208
"Petula Clark",191.987582900061
"Stevie Wonder",191.198774846006
"Al Martino",190.81106822526
"Jan & Dean",189.802332416392
"Neil Sedaka",189.632589627331
"Otis Redding",189.556029166781
"Mary Wells",185.802518989417
"Gary Lewis & The Playboys",179.118710213355
"Lesley Gore",178.272286796177
"Etta James",176.73212699689
"Rick Nelson",175.48464996758
"Dean Martin",175.215886762891
"Bobby Goldsboro",174.943172466992
"Tom Jones",172.134355718997
"Peter, Paul & Mary",170.288616892279
"Nancy Sinatra",169.748683706905
"Bobby Bland",168.635524753806
"Joe Tex",165.067300254862
"Paul Revere & The Raiders",160.951200891765
"The 4 Seasons",160.723383192004
"The Righteous Brothers",158.360024737951
"Tommy Roe",158.308175643104
"The Turtles",157.891680681274
"Solomon Burke",154.589880719157
"The Mamas & The Papas",152.587300013789
"Diana Ross & The Supremes",151.446660296744
"The 5th Dimension",151.445789229927
"Pat Boone",150.909294889874
"Dave Clark Five",150.908692657609
"Dusty Springfield",150.830372187923
"Marty Robbins",147.520226228348
"Donovan",147.122480009175
"Glen Campbell",147.029406761643
"Neil Diamond",146.469642659862
"Del Shannon",146.179468641358
"Nat King Cole",146.025736394009
"The Lovin' Spoonful",145.751118929313
"Brian Hyland",144.752481552588
