"Artist","sum"
"Neil Diamond",82.9825771188979
"The 5th Dimension",70.5482027298544
"The Jackson 5",68.582995951417
"Carpenters",63.7832244008715
"The Guess Who",63.7081232492997
"James Brown",59.3840309200603
"Elvis Presley",58.6770104895105
"Bobby Sherman",57.1523088023088
"Simon & Garfunkel",55.2945665445665
"B.J. Thomas",54.8663558663559
"Creedence Clearwater Revival",50.6800699300699
"Mark Lindsay",46.8331818181818
"Clarence Carter",45.8896239346803
"Three Dog Night",43.2666666666667
"The Temptations",42.9004329004329
"The Beatles",41.8571428571429
"The Supremes",40.9138528138528
"Crosby, Stills, Nash & Young",40.4449134199134
"Tom Jones",39.3925474525474
"Smokey Robinson",39.3257931844888
"Vanity Fare",39.3219233147805
"Rare Earth",39.2857142857143
"Stevie Wonder",39.0697080697081
"Crow",38.1423510699827
"Glen Campbell",38.0551956815115
"Aretha Franklin",37.433196650588
"Tommy Roe",37.3686734693878
"Kenny Rogers",37.1800356506239
"Joe Cocker",37.0103896103896
"Dionne Warwick",36.8845631440108
"Freda Payne",36.4166666666667
"Chairmen Of The Board",36.0789473684211
"Bread",35.8914438502674
"B.B. King",35.2157407407407
"Bobbie Gentry",35.1403290311362
"Tyrone Davis",35.0036951770849
"Badfinger",34.8690476190476
"Wilson Pickett",34.1771234647705
"Ike & Tina Turner",34.0933165416033
"The Poppy Family",33.9756592292089
"The Shocking Blue",33.4651605758582
"Diana Ross",32.4785714285714
"Chicago",32.0674603174603
"The Delfonics",31.858153638814
"Engelbert Humperdinck",31.1283090054429
"The Flaming Ember",31.1241087344029
"Brook Benton",31.1075396825397
"Ray Stevens",31.0469135802469
"Charles Wright & The Watts 103rd Street Band",30.1458333333333
"Candi Staton",30.0940476190476
"Sly & The Family Stone",29.4109311740891
"The Who",29.263468013468
"Johnnie Taylor",29.1015648922626
"Steppenwolf",29.088860004989
"James Taylor",29.0149253731343
"The Archies",27.954318488529
"Jackson 5",27.875
"The Partridge Family",27.7894736842105
"Melanie",27.7585784313726
"Norman Greenbaum",27.3768115942029
"Four Tops",27.2234848484848
"The Moments",27.0227272727273
"The Five Stairsteps",26.7924981522543
"The Band",26.0880747322853
"Eddie Holman",25.827380952381
"The Kinks",25.3812083973374
"The Marmalade",25.3392156862745
"Marvin Gaye",25.1664883769307
"George Harrison",25.1428571428571
"Joe Simon",25.0599488623682
"Led Zeppelin",24.9474358974359
"Brian Hyland",24.6666666666667
"Eric Burdon & War",24.6666666666667
"The Hollies",24.5201316298877
"The Friends Of Distinction",24.4269230769231
"Johnny Cash",24.112901175332
"Rick Nelson",24.0719696969697
"The Sandpipers",24.0694618272841
"The Grass Roots",24.0676921439217
"Ronnie Dyson",23.6985714285714
"Edwin Starr",23.3333333333333
"The Jaggerz",23.1514452214452
"Dawn",23.1111111111111
"Christie",23.0869565217391
"Blues Image",22.5956790123457
"Sugarloaf",22.3725490196078
"Frijid Pink",21.8423576423576
"The Ides Of March",21.6822916666667
"Neil Young",21.1151515151515
"The Brotherhood Of Man",21.109709962169
"Jay & The Americans",21.0877192982456
"Paul Davis",21.077677224736
"The Three Degrees",21.0761494252874
"The Meters",21.0490930979133
"The Originals",20.1936936936937
"Gene Chandler",20.1933333333333
"John Ono Lennon",20.1538461538462
"The Impressions",20.1428571428571
"Jr. Walker & The All Stars",20.1264880952381
"Robin McNamara",20.1159090909091
"The Dells",20.0931464980713
"Lulu",20.0639730639731
"Free",20
"R. Dean Taylor",19.4
"Jack Blanchard & Misty Morgan",19.0997770345596
"Edison Lighthouse",18.9846153846154
"The Tee Set",18.7246913580247
"Brenda & The Tabulations",18.084237012987
"Vic Dana",18.0703309692671
"Mashmakhan",18.0645161290323
"Grand Funk Railroad",18.0593434343434
"The Gentrys",18.0356242118537
"Mungo Jerry",17.9487179487179
"Anne Murray",17.5
"Bobby Bloom",17.375
"Joe South",17.287037037037
"The Assembled Multitude",17.1376582278481
"R.B. Greaves",17.133386712655
"Andy Kim",17.1045751633987
"White Plains",17.0891181988743
"Mary Hopkin",17.0887503301296
"The Lettermen",17.0564806022258
