Year,Prefix,CH,10,#,High,Artist
1940,1940_001,30,-,12,1,Glenn Miller & His Orchestra
1940,1940_002,30,-,13,1,Artie Shaw & His Orchestra
1940,1940_003,20,-,12,1,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra & Pied Pipers)
1940,1940_004,20,-,9,1,Bing Crosby
1940,1940_005,19,-,9,1,Glenn Miller & His Orchestra
1940,1940_006,16,-,7,1,Glenn Miller & His Orchestra
1940,1940_007,14,-,4,1,Bing Crosby
1940,1940_008,13,-,3,1,Mitchell Ayres & His Fashions in Music
1940,1940_009,10,-,3,1,Charlie Barnet & His Orchestra
1940,1940_010,14,-,2,1,Jimmy Dorsey & His Orchestra
1940,1940_011,13,-,5,1,Glenn Miller & His Orchestra
1940,1940_012,17,-,6,2,Ink Spots
1940,1940_013,16,-,5,1,Glenn Miller & His Orchestra
1940,1940_014,20,-,1,1,Glenn Miller & His Orchestra
1940,1940_015,13,-,-,3,Bing Crosby
1940,1940_016,16,-,1,1,Tommy Dorsey & His Orchestra
1940,1940_017,14,-,2,2,Kay Kyser & His Orchestra
1940,1940_018,17,-,4,1,Bing Crosby
1940,1940_019,11,-,3,1,Glenn Miller & His Orchestra
1940,1940_020,6,-,2,2,Glenn Miller & His Orchestra
1940,1940_021,22,-,1,2,Will Bradley & His Orchestra
1940,1940_022,13,-,1,1,Glenn Miller & His Orchestra
1940,1940_023,13,-,2,1,Tommy Dorsey & His Orchestra
1940,1940_024,11,-,-,3,Connee Boswell
1940,1940_025,12,-,-,3,Judy Garland
1940,1940_026,15,-,3,1,Ink Spots
1940,1940_027,13,-,-,3,Orrin Tucker & His Orchestra
1940,1940_028,13,-,-,3,Charlie Barnet & His Orchestra
1940,1940_029,10,-,-,3,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_030,9,-,-,4,Kay Kyser & His Orchestra
1940,1940_031,12,-,-,4,Bing Crosby & Andrews Sisters
1940,1940_032,10,-,-,4,Andrews Sisters
1940,1940_033,14,-,-,4,Ink Spots
1940,1940_034,7,-,-,4,Dick Todd
1940,1940_035,9,-,-,4,Kay Kyser & His Orchestra
1940,1940_036,14,-,-,4,Jimmy Dorsey & His Orchestra
1940,1940_037,7,-,-,5,Guy Lombardo & His Royal Canadians
1940,1940_038,10,-,-,5,Orrin Tucker & His Orchestra
1940,1940_039,11,-,-,5,Glenn Miller & His Orchestra
1940,1940_040,7,-,-,5,Orrin Tucker & His Orchestra
1940,1940_041,12,-,3,1,Vaughn Monroe & His Orchestra
1940,1940_042,11,-,-,5,Glenn Miller & His Orchestra
1940,1940_043,5,-,-,5,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_044,12,-,-,5,Glenn Miller & His Orchestra
1940,1940_045,11,-,-,5,Kate Smith
1940,1940_046,13,-,-,3,Bob Chester & His Orchestra
1940,1940_047,11,-,-,6,Fats Waller
1940,1940_048,9,-,-,6,Kay Kyser & His Orchestra
1940,1940_049,12,-,-,6,Dick Jurgens & His Orchestra
1940,1940_050,13,-,-,7,Frankie Masters & His Orchestra
1940,1940_051,11,-,2,2,Glenn Miller & His Orchestra
1940,1940_052,14,-,3,2,Bob Crosby & His Orchestra
1940,1940_053,12,-,-,7,Glenn Miller & His Orchestra
1940,1940_054,11,-,-,7,Bob Crosby & His Orchestra
1940,1940_055,8,-,-,4,Sammy Kaye & His Orchestra
1940,1940_056,9,-,-,7,Tommy Dorsey & His Orchestra (Vocal Allan Storr)
1940,1940_057,11,-,-,8,Glenn Miller & His Orchestra
1940,1940_058,12,-,-,6,Andrews Sisters
1940,1940_059,9,-,-,7,Leo Reisman & His Orchestra
1940,1940_060,11,-,1,1,Benny Goodman & His Orchestra (Vocal Mildred Bailey)
1940,1940_061,9,-,-,5,Benny Goodman & His Orchestra (Vocal Helen Forrest)
1940,1940_062,19,-,-,3,Dick Jurgens & His Orchestra
1940,1940_063,12,-,-,8,Dick Jurgens & His Orchestra
1940,1940_064,14,-,3,1,Andrews Sisters
1940,1940_065,7,-,-,8,Glenn Miller & His Orchestra
1940,1940_066,8,-,-,8,Glenn Miller & His Orchestra
1940,1940_067,6,-,-,8,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_068,2,-,-,8,Jan Savitt & His Orchestra
1940,1940_069,11,-,-,9,Tommy Tucker & His Orchestra
1940,1940_070,12,-,-,9,Guy Lombardo & His Royal Canadians
1940,1940_071,10,-,-,9,Glenn Miller & His Orchestra
1940,1940_072,5,-,-,8,Bob Crosby & His Orchestra
1940,1940_073,10,-,-,9,Glen Gray & Casa Loma Orchestra
1940,1940_074,6,-,-,9,Dick Jurgens & His Orchestra
1940,1940_075,9,-,-,9,Glenn Miller & His Orchestra
1940,1940_076,11,-,-,10,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_077,4,-,-,14,Blue Barron & His Orchestra
1940,1940_078,7,-,-,10,Bing Crosby
1940,1940_079,13,-,2,2,Tony Martin
1940,1940_080,7,-,-,10,Glenn Miller & His Orchestra
1940,1940_081,6,-,-,10,Will Bradley & His Orchestra
1940,1940_082,7,-,-,10,Erskine Hawkins & His Orchestra
1940,1940_083,10,-,-,10,Ink Spots
1940,1940_084,10,-,-,4,Glenn Miller & His Orchestra
1940,1940_085,8,-,-,10,Glenn Miller & His Orchestra
1940,1940_086,10,-,-,10,Glenn Miller & His Orchestra (Vocal Ray Eberle)
1940,1940_087,12,-,2,2,Glenn Miller & His Orchestra
1940,1940_088,2,-,-,10,Orrin Tucker & His Orchestra
1940,1940_089,4,-,-,11,Kay Kyser & His Orchestra
1940,1940_090,3,-,-,15,Eddy Duchin & His Orchestra
1940,1940_091,1,-,-,11,Charlie Barnet & His Orchestra v Mary Ann McCall
1940,1940_092,1,-,-,11,Sammy Kaye & His Orchestra
1940,1940_093,6,-,-,12,Dick Jurgens & His Orchestra
1940,1940_094,4,-,-,11,Earl Hines & His Orchestra
1940,1940_095,7,-,-,9,Bing Crosby
1940,1940_096,3,-,-,12,Raymond Scott & His Orchestra
1940,1940_097,2,-,-,12,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_098,9,-,-,12,Frankie Masters & His Orchestra
1940,1940_099,5,-,-,11,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra & Pied Pipers)
1940,1940_100,3,-,-,12,Al Kavelin & His Orchestra
1940,1940_101,2,-,-,11,Kay Kyser & His Orchestra
1940,1940_102,2,-,-,11,Bea Wain
1940,1940_103,n/a,-,-,,Charlie Barnet & His Orch
1940,1940_104,2,-,-,15,Glenn Miller & His Orchestra
1940,1940_105,3,-,-,14,Charlie Barnet & His Orchestra
1940,1940_106,3,-,-,12,Tommy Dorsey & His Orchestra (Vocal Connie Haines)
1940,1940_107,2,-,-,15,Erskine Hawkins & His Orchestra
1940,1940_108,7,-,-,7,Glenn Miller & His Orchestra
1940,1940_109,1,-,-,17,Eddy Duchin & His Orchestra
1940,1940_110,2,-,-,13,Erskine Hawkins & His Orchestra
1940,1940_111,2,-,-,15,Gene Krupa & His Orchestra
1940,1940_112,1,-,-,14,Tony Martin
1940,1940_113,1,-,-,14,Ozzie Nelson & His Orchestra
1940,1940_114,5,-,-,14,Russ Morgan & His Orchestra
1940,1940_115,2,-,-,12,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_116,n/a,-,-,,Dinah Shore
1940,1940_117,2,-,-,18,Charlie Barnet & His Orchestra
1940,1940_118,1,-,-,17,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_119,2,-,-,12,Ink Spots
1940,1940_120,1,-,-,16,Glenn Miller & His Orchestra
1940,1940_121,2,-,-,17,Glenn Miller & His Orchestra
1940,1940_122,1,-,-,16,Terry Shand & His Orchestra
1940,1940_123,4,-,-,14,Dick Todd
1940,1940_124,6,-,-,18,Shep Fields & His Rippling Rhythm Orchestra
1940,1940_125,2,-,-,17,Dick Jurgens & His Orchestra
1940,1940_126,3,-,-,14,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_127,2,-,-,16,Ink Spots
1940,1940_128,1,-,-,20,Kenny Baker
1940,1940_129,1,-,-,19,Will Bradley & His Orchestra
1940,1940_130,1,-,-,13,Xavier Cugat & His Waldorf-Astoria Orchestra
1940,1940_131,1,-,-,17,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_132,1,-,-,15,Eddy Duchin & His Orchestra
1940,1940_133,4,-,-,7,Gray Gordon & His Orchestra
1940,1940_134,4,-,-,10,Tommy Tucker & His Orchestra
1940,1940_135,2,-,-,21,Sammy Kaye & His Orchestra
1940,1940_136,14,-,3,2,Andrews Sisters
1940,1940_137,1,-,-,18,Bobby Byrne & His Orchestra
1940,1940_138,n/a,-,-,,Bing Crosby
1940,1940_139,1,-,-,22,Eddy Duchin & His Orchestra
1940,1940_140,1,-,-,19,Benny Goodman & His Orchestra
1940,1940_141,1,-,-,19,Sammy Kaye & His Orchestra
1940,1940_142,n/a,-,-,,Wayne King
1940,1940_143,1,-,-,19,Andy Kirk & His Twelve Clouds of Joy
1940,1940_144,1,-,-,22,Leo Reisman & His Orchestra
1940,1940_145,n/a,-,-,,Cats & the Fiddle
1940,1940_146,6,-,-,9,Jimmy Dorsey & His Orchestra
1940,1940_147,10,-,-,12,Will Glahe
1940,1940_148,2,-,-,20,Wayne King & His Orchestra
1940,1940_149,1,-,-,24,Jack Leonard
1940,1940_150,1,-,-,18,Artie Shaw & His Orchestra
1940,1940_151,1,-,-,25,Kate Smith
1940,1940_152,n/a,-,-,,Dick Todd
1940,1940_153,1,-,-,20,Dick Todd
1940,1940_154,12,-,-,3,Bing Crosby
1940,1940_155,9,-,-,6,Benny Goodman & His Orchestra (Vocal Helen Forrest)
1940,1940_156,7,-,-,6,Tommy Dorsey & His Orchestra
1940,1940_157,15,-,-,7,Erskine Hawkins & His Orchestra
1940,1940_158,8,-,-,7,Leo Reisman & His Orchestra
1940,1940_159,6,-,-,7,Kay Kyser & His Orchestra
1940,1940_160,6,-,-,7,Glenn Miller & His Orchestra
1940,1940_161,4,-,-,7,Mitchell Ayres & His Fashions in Music
1940,1940_162,11,-,-,8,Kate Smith
1940,1940_163,10,-,-,8,Glenn Miller & His Orchestra
1940,1940_164,8,-,-,8,Artie Shaw & His Orchestra
1940,1940_165,7,-,-,8,Ambrose & His Orchestra vocal Denny Dennis
1940,1940_166,7,-,-,8,Bing Crosby
1940,1940_167,6,-,-,8,Glenn Miller & His Orchestra
1940,1940_168,5,-,-,8,Orrin Tucker & His Orchestra
1940,1940_169,4,-,-,8,Charlie Barnet & His Orchestra
1940,1940_170,10,-,-,9,Glenn Miller & His Orchestra
1940,1940_171,9,-,-,9,Mitchell Ayres & His Fashions in Music
1940,1940_172,9,-,-,9,Glen Gray & Casa Loma Orchestra
1940,1940_173,8,-,-,9,Glenn Miller & His Orchestra
1940,1940_174,6,-,-,9,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
1940,1940_175,4,-,-,9,Kay Kyser & His Orchestra
1940,1940_176,6,-,-,10,Cliff Edwards
1940,1940_177,6,-,-,10,Harry James & His Orchestra
1940,1940_178,6,-,-,10,Kay Kyser & His Orchestra
1940,1940_179,4,-,-,10,Bob Crosby & His Orchestra
1940,1940_180,3,-,-,10,Dick Todd
1940,1940_181,2,-,-,10,Dick Jurgens & His Orchestra
1940,1940_182,11,-,-,11,Gray Gordon & His Orchestra
1940,1940_183,10,-,-,11,Bing Crosby
1940,1940_184,9,-,-,11,Andrews Sisters
1940,1940_185,8,-,-,11,Glen Gray & Casa Loma Orchestra
1940,1940_186,7,-,-,11,Abe Lyman & His California Orchestra
1940,1940_187,6,-,-,11,Bob Chester & His Orchestra
1940,1940_188,13,-,-,12,Bing Crosby & Connee Boswell
1940,1940_189,7,-,-,12,Bing Crosby
1940,1940_190,7,-,-,12,Kay Kyser & His Orchestra
1940,1940_191,6,-,-,12,Frankie Masters & His Orchestra
1940,1940_192,6,-,-,12,Dick Robertson & His Orchestra
1940,1940_193,5,-,-,12,Horace Heidt & His Orchestra
1940,1940_194,3,-,-,12,Mitchell Ayres & His Fashions in Music
1940,1940_195,3,-,-,12,Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)
