"Prefix","CH","X10","X.","High","Artist"
"1990",15,"9",5,1,"Elton John"
"1990",15,"9",5,1,"Elton John"
"1990",14,"9",4,1,"The Righteous Brothers"
"1990",14,"9",4,1,"Madonna"
"1990",13,"9",4,1,"Vanilla Ice"
"1990",18,"8",4,1,"Adamski"
"1990",14,"8",4,1,"Sinéad O'Connor"
"1990",14,"8",4,1,"Maria McKee"
"1990",13,"8",4,1,"Beats International ft Lindy [Layton]"
"1990",10,"6",4,1,"Partners In Kryme"
"1990",13,"6",3,1,"Bombalurina"
"1990",12,"8",2,1,"Englandneworder"
"1990",15,"7",2,1,"Snap!"
"1990",13,"5",2,1,"Steve Miller Band"
"1990",13,"5",2,1,"New Kids On The Block"
"1990",14,"7",1,1,"The Beautiful South"
"1990",8,"5",1,1,"Kylie Minogue"
"1990",7,"5",1,1,"Cliff Richard"
"1990",13,"6",3,2,"B-52's"
"1990",10,"5",3,2,"D N A ft Suzanne Vega"
"1990",11,"5",3,2,"Luciano Pavarotti"
"1990",15,"6",2,2,"Alannah Myles"
"1990",10,"6",2,2,"Technotronic ft Ya Kid K"
"1990",13,"5",2,2,"Deee-Lite"
"1990",13,"5",2,2,"Deee-Lite"
"1990",10,"5",2,2,"Kylie Minogue"
"1990",9,"4",2,2,"Deacon Blue"
"1990",7,"4",2,2,"Various Artists"
"1990",13,"6",1,2,"Adventures Of Stevie V"
"1990",13,"6",1,2,"Paula Abdul With The Wild Pair"
"1990",11,"6",1,2,"Craig McLachlan & Check 1-2"
"1990",10,"6",1,2,"Kim Appleby"
"1990",13,"5",1,2,"Londonbeat"
"1990",10,"5",1,2,"Bobby Vinton"
"1990",10,"5",1,2,"Madonna"
"1990",9,"5",1,2,"Status Quo"
"1990",9,"4",1,2,"Madonna"
"1990",9,"2",1,2,"Gazza & Lindisfarne"
"1990",7,"2",1,2,"New Kids On The Block"
"1990",10,"6",3,3,"Michael Bolton"
"1990",14,"8",2,3,"Roxette"
"1990",13,"6",2,3,"EMF"
"1990",12,"4",2,3,"Berlin"
"1990",10,"4",2,3,"Candy Flip"
"1990",10,"4",2,3,"Chad Jackson"
"1990",16,"8",1,3,"MC Hammer"
"1990",10,"6",1,3,"New Kids On The Block"
"1990",13,"5",1,3,"49ers"
"1990",10,"4",1,3,"Erasure"
"1990",10,"4",1,3,"Betty Boo"
"1990",9,"4",1,3,"Righteous Brothers"
"1990",4,"2",1,3,"Iron Maiden"
"1990",13,"7",2,4,"Blue Pearl"
"1990",12,"5",2,4,"UB40"
"1990",11,"5",2,4,"Mantronix ft Wondress"
"1990",10,"4",2,4,"Lonnie Gordon"
"1990",8,"4",2,4,"New Kids On The Block"
"1990",6,"3",2,4,"Jive Bunny & The Mastermixers"
"1990",12,"6",1,4,"The Farm"
"1990",8,"4",1,4,"Black Box"
"1990",10,"3",1,4,"Don Pablo's Animals"
"1990",8,"3",1,4,"Kylie Minogue"
"1990",6,"3",1,4,"Pet Shop Boys"
"1990",7,"2",1,4,"The Stone Roses"
"1990",12,"5",2,5,"Snap!"
"1990",11,"4",2,5,"En Vogue"
"1990",10,"4",2,5,"Guru Josh"
"1990",12,"5",1,5,"Soup Dragons ft Junior Reid"
"1990",11,"5",1,5,"Black Box"
"1990",12,"4",1,5,"K L F ft The Children Of The Revolution"
"1990",10,"4",1,5,"Whitney Houston"
"1990",11,"3",1,5,"Happy Mondays"
"1990",8,"3",1,5,"Jimmy Somerville"
"1990",8,"3",1,5,"F A B ft MC Parker"
"1990",8,"2",1,5,"New Kids On The Block"
"1990",8,"2",1,5,"Rod Stewart & Tina Turner"
"1990",7,"2",1,5,"Happy Mondays"
"1990",7,"2",1,5,"Patrick MacNee & Honor Blackman"
"1990",9,"3",3,6,"Depeche Mode"
"1990",12,"3",2,6,"Halo James"
"1990",10,"3",2,6,"Belinda Carlisle"
"1990",9,"3",2,6,"The Chimes"
"1990",8,"3",2,6,"Technotronic"
"1990",12,"4",1,6,"David A Stewart ft Candy Dulfer"
"1990",12,"4",1,6,"Wilson Phillips"
"1990",10,"4",1,6,"Robert Palmer & UB40"
"1990",10,"3",1,6,"The Farm"
"1990",11,"3",1,6,"They Might Be Giants"
"1990",9,"3",1,6,"Roxette"
"1990",9,"3",1,6,"Roxette"
"1990",9,"3",1,6,"Sybil"
"1990",7,"3",1,6,"George Michael"
"1990",6,"3",1,6,"Soul II Soul"
"1990",10,"3",3,7,"Twenty4Seven ft Captain Hollywood"
"1990",11,"4",2,7,"Bizz Nizz"
"1990",9,"4",2,7,"Phil Collins"
"1990",12,"4",1,7,"Betty Boo"
"1990",10,"3",1,7,"Maxi Priest"
"1990",8,"3",1,7,"Adamski"
"1990",11,"2",1,7,"Julee Cruise"
"1990",8,"2",1,7,"De La Soul"
"1990",8,"2",1,7,"De La Soul"
"1990",8,"2",1,7,"J T & The Big Family"
"1990",8,"2",1,7,"D Mob ft Nuff Juice"
"1990",6,"2",1,7,"Prince"
"1990",10,"4",2,8,"Snap!"
"1990",13,"3",2,8,"Heart"
"1990",14,"3",2,8,"Rob 'N' Raz ft Leila K"
"1990",7,"3",1,8,"Jason Donovan"
"1990",11,"2",1,8,"Jimmy Somerville"
"1990",7,"2",1,8,"MC Hammer"
"1990",6,"2",1,8,"The Stone Roses"
"1990",7,"1",1,8,"Snap!"
"1990",6,"1",1,8,"Jive Bunny & The Mastermixers"
"1990",5,"1",1,8,"New Kids On The Block"
"1990",5,"1",1,8,"New Kids On The Block"
"1990",11,"3",2,9,"Bassomatic"
"1990",9,"3",2,9,"Technotronic ft Ya Kid K"
"1990",9,"3",1,9,"The Charlatans"
"1990",12,"2",1,9,"F.P.I. Project"
"1990",12,"2",1,9,"F.P.I. Project"
"1990",12,"2",1,9,"Mariah Carey"
"1990",7,"2",1,9,"Beats International"
"1990",6,"2",1,9,"Jason Donovan"
"1990",8,"1",1,9,"The Proclaimers"
"1990",7,"1",1,9,"New Kids On The Block"
"1990",11,"2",2,10,"The Family Stand"
"1990",6,"2",2,10,"Lisa Stansfield"
"1990",10,"1",1,10,"Chris Isaak"
"1990",10,"1",1,10,"MC Tunes vs 808 State"
"1990",10,"1",1,10,"Michael Bolton"
"1990",10,"1",1,10,"Sonia"
"1990",12,"1",1,10,"Rod Stewart"
"1990",8,"1",1,10,"Yell!"
"1990",10,"1",1,10,"808 State"
"1990",10,"1",1,10,"808 State"
"1990",7,"1",1,10,"Mantronix ft Wondress"
"1990",7,"1",1,10,"Cliff Richard"
"1990",11,"-",1,11,"Cher"
"1990",10,"-",1,11,"Rita MacNeil"
"1990",10,"-",1,11,"Silver Bullet"
"1990",9,"-",1,11,"Maureen Walsh"
"1990",9,"-",1,11,"Del Amitri"
"1990",8,"-",1,11,"Malandra Burrows"
"1990",7,"-",1,11,"Erasure"
"1990",6,"-",1,11,"INXS"
"1990",6,"-",1,11,"Cliff Richard"
"1990",9,"-",2,12,"Glenn Medeiros ft Bobby Brown"
"1990",8,"-",2,12,"Together"
"1990",6,"-",2,12,"Adamski"
"1990",11,"-",1,12,"Latino Rave"
"1990",10,"-",1,12,"L F O"
"1990",8,"-",1,12,"Monie Love ft True Image"
"1990",8,"-",1,12,"The Blues Brothers"
"1990",7,"-",1,12,"Was (Not Was)"
"1990",6,"-",1,12,"Skid Row"
"1990",6,"-",1,12,"49ers"
"1990",5,"-",1,12,"The Charlatans"
"1990",4,"-",1,12,"Mission"
"1990",4,"-",1,12,"Morrissey"
"1990",8,"-",2,13,"Jon Bon Jovi"
