"Year","CH","10","#","High","Artist"
"1940","30","-","12","1","Glenn Miller & His Orchestra"
"1940","30","-","13","1","Artie Shaw & His Orchestra"
"1940","20","-","12","1","Tommy Dorsey & His Orchestra (Vocal Frank Sinatra & Pied Pipers)"
"1940","20","-","9","1","Bing Crosby"
"1940","19","-","9","1","Glenn Miller & His Orchestra"
"1940","16","-","7","1","Glenn Miller & His Orchestra"
"1940","14","-","4","1","Bing Crosby"
"1940","13","-","3","1","Mitchell Ayres & His Fashions in Music"
"1940","10","-","3","1","Charlie Barnet & His Orchestra"
"1940","14","-","2","1","Jimmy Dorsey & His Orchestra"
"1940","13","-","5","1","Glenn Miller & His Orchestra"
"1940","17","-","6","2","Ink Spots"
"1940","16","-","5","1","Glenn Miller & His Orchestra"
"1940","20","-","1","1","Glenn Miller & His Orchestra"
"1940","13","-","-","3","Bing Crosby"
"1940","16","-","1","1","Tommy Dorsey & His Orchestra"
"1940","14","-","2","2","Kay Kyser & His Orchestra"
"1940","17","-","4","1","Bing Crosby"
"1940","11","-","3","1","Glenn Miller & His Orchestra"
"1940","6","-","2","2","Glenn Miller & His Orchestra"
"1940","22","-","1","2","Will Bradley & His Orchestra"
"1940","13","-","1","1","Glenn Miller & His Orchestra"
"1940","13","-","2","1","Tommy Dorsey & His Orchestra"
"1940","11","-","-","3","Connee Boswell"
"1940","12","-","-","3","Judy Garland"
"1940","15","-","3","1","Ink Spots"
"1940","13","-","-","3","Orrin Tucker & His Orchestra"
"1940","13","-","-","3","Charlie Barnet & His Orchestra"
"1940","10","-","-","3","Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)"
"1940","9","-","-","4","Kay Kyser & His Orchestra"
"1940","12","-","-","4","Bing Crosby & Andrews Sisters"
"1940","10","-","-","4","Andrews Sisters"
"1940","14","-","-","4","Ink Spots"
"1940","7","-","-","4","Dick Todd"
"1940","9","-","-","4","Kay Kyser & His Orchestra"
"1940","14","-","-","4","Jimmy Dorsey & His Orchestra"
"1940","7","-","-","5","Guy Lombardo & His Royal Canadians"
"1940","10","-","-","5","Orrin Tucker & His Orchestra"
"1940","11","-","-","5","Glenn Miller & His Orchestra"
"1940","7","-","-","5","Orrin Tucker & His Orchestra"
"1940","12","-","3","1","Vaughn Monroe & His Orchestra"
"1940","11","-","-","5","Glenn Miller & His Orchestra"
"1940","5","-","-","5","Tommy Dorsey & His Orchestra (Vocal Frank Sinatra)"
"1940","12","-","-","5","Glenn Miller & His Orchestra"
"1940","11","-","-","5","Kate Smith"
"1940","13","-","-","3","Bob Chester & His Orchestra"
"1940","11","-","-","6","Fats Waller"
"1940","9","-","-","6","Kay Kyser & His Orchestra"
"1940","12","-","-","6","Dick Jurgens & His Orchestra"
"1940","13","-","-","7","Frankie Masters & His Orchestra"
"1940","11","-","2","2","Glenn Miller & His Orchestra"
"1940","14","-","3","2","Bob Crosby & His Orchestra"
"1940","12","-","-","7","Glenn Miller & His Orchestra"
"1940","11","-","-","7","Bob Crosby & His Orchestra"
"1940","8","-","-","4","Sammy Kaye & His Orchestra"
"1940","9","-","-","7","Tommy Dorsey & His Orchestra (Vocal Allan Storr)"
"1940","11","-","-","8","Glenn Miller & His Orchestra"
"1940","12","-","-","6","Andrews Sisters"
"1940","9","-","-","7","Leo Reisman & His Orchestra"
"1940","11","-","1","1","Benny Goodman & His Orchestra (Vocal Mildred Bailey)"
"1940","9","-","-","5","Benny Goodman & His Orchestra (Vocal Helen Forrest)"
"1940","19","-","-","3","Dick Jurgens & His Orchestra"
